JOGADOR,POSICAO,JOGOS,VITORIAS,EMPATES,DERROTAS,DESEMPENHO (%),GOLS,ASSISTENCIAS,TITULAR,RESERVA,SUBSTITUIDO,CAPITAO,CA,CV,BRASILEIRO,PAULISTA,COPA DO BRASIL,LIBERTADORES,SULAMERICANA,AMISTOSOS,GOLS NORTE,GOLS SUL,GOLS 1-TEMPO,GOLS 2-TEMPO,GOLS DE PENALTI,PENALTIS PERDIDOS,GOLS DE FALTA,DENTRO DA AREA,FORA DA AREA,PE DIREITO,PE ESQUERDO,CABECA,GOLS CONTRA,GOLS (OUTROS ESTILOS),
CASSIO,GOL,224,131,62,31,"67,70833333",0,1,223,1,6,100,5,1,123,56,17,13,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FAGNER,LD,207,123,54,30,"68,11594203",9,29,201,6,14,36,49,3,118,52,16,11,7,3,4,5,5,4,1,0,0,7,2,9,0,0,1,0,
GIL,ZAG,123,68,36,19,"65,04065041",7,2,121,2,0,15,18,0,82,24,5,6,5,1,3,4,3,4,0,0,0,7,0,1,0,6,0,0,
JADSON,MC,112,66,31,15,"68,1547619",24,31,86,26,47,6,16,1,64,22,9,8,6,3,16,8,10,14,7,2,4,15,9,21,3,0,0,0,
GABRIEL,VOL,110,57,31,22,"61,21212121",3,2,100,10,34,3,21,3,67,23,7,3,7,3,0,3,2,1,0,0,0,3,0,2,0,1,0,0,
ROMERO,ATA,103,63,27,13,"69,90291262",27,11,80,23,39,1,13,0,56,24,12,6,2,3,15,12,11,16,0,1,0,26,1,16,5,6,1,0,
MATEUS VITAL,MC,98,47,29,22,"57,82312925",8,4,53,45,40,0,6,0,55,23,8,4,5,3,4,4,4,4,0,1,0,4,4,7,0,1,0,0,
RALF,VOL,87,56,20,11,"72,03065134",4,4,77,10,12,26,8,0,51,17,9,6,2,2,2,2,1,3,0,0,0,2,2,2,0,2,0,0,
JO,ATA,79,43,25,11,"64,97890295",30,6,59,20,22,7,0,0,47,22,3,0,6,1,18,12,10,20,1,4,0,28,2,10,15,4,0,1,
PEDRINHO,MC,78,45,23,10,"67,52136752",6,8,47,31,27,0,8,1,38,19,7,5,7,2,5,1,2,4,0,0,0,2,4,0,6,0,0,0,
RODRIGUINHO,MC,76,46,21,9,"69,73684211",14,14,72,4,21,14,10,0,42,19,5,6,2,2,8,6,7,7,0,1,0,11,3,4,6,4,0,0,
CLAYSON,ATA,65,38,17,10,"67,17948718",7,10,49,16,31,0,11,1,41,12,6,1,5,0,4,3,2,5,2,0,0,7,0,6,1,0,0,0,
DANILO,MC,63,44,13,6,"76,71957672",5,6,17,46,9,2,2,0,36,17,2,6,0,2,2,3,1,4,0,0,0,5,0,0,3,2,0,0,
